,id,price,beds,baths,sqft,address,postal_code,state,city
2046,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
2047,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
2048,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
2049,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
2050,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
2051,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
2052,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
2053,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
2054,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
2055,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
2056,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
2057,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
2058,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
2059,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
2060,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
2061,3978840061,499990,3,2,1100.0,7 Custom Ln,11776,NY,Port Jefferson Station
2062,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
2063,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
2064,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
2065,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
2066,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
2067,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
2068,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
2069,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
2070,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
2071,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
2072,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
2073,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
2074,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
2075,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
2076,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
2077,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
2078,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
2079,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
2080,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
2081,3978840061,499990,3,2,1100.0,7 Custom Ln,11776,NY,Port Jefferson Station
2082,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
2083,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
2084,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
2085,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
2086,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
2087,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
2088,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
2089,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
2090,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
2091,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
2092,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
2093,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
2094,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
2095,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
2096,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
2097,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
2098,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
2099,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
2100,4320632096,3995000,7,7,6400.0,3 Discovery Ln,11937,NY,East Hampton
2101,3978840061,499990,3,2,1100.0,7 Custom Ln,11776,NY,Port Jefferson Station
2102,4528089672,2699000,4,4,2700.0,12 Bay Meadow Ln,11977,NY,Westhampton
2103,4560478667,975000,4,5,3600.0,34 Jefferson Landing Cir,11777,NY,Port Jefferson
2104,4622503716,400000,3,2,,50 Beecher Ave,11730,NY,East Islip
2105,4355382664,2475000,5,4,,87 Wildwood Dr,11746,NY,Dix Hills
2106,9942955464,1200000,4,4,3600.0,33A Cove Rd Unit A,11743,NY,Huntington
2107,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
2108,3533730752,667000,4,3,,11 Redleaf Ln,11725,NY,Commack
2109,3647622809,639000,6,2,,62 Laurie Rd,11717,NY,Brentwood
2110,4124648059,3495000,5,5,3877.0,49 Cosdrew Ln,11937,NY,East Hampton
2111,3522803057,2595000,4,4,3000.0,23 Long Hill Rd,11937,NY,East Hampton
2112,9200255023,19950000,12,12,15000.0,180 Rose Hill Rd,11976,NY,Water Mill
2113,4154571724,3695000,5,6,3877.0,18 Barnes Ave,11937,NY,East Hampton
2114,4072798171,399000,2,2,869.0,188 Kingston Dr Unit 188,11961,NY,Ridge
2115,4697368030,875000,3,2,,516 Madison Ave,11944,NY,Greenport
2116,3542840089,1095000,4,3,,505 Saltaire Way,11952,NY,Mattituck
2117,4068836272,18995000,6,8,8000.0,67 Hither Ln,11937,NY,East Hampton
2118,3651483610,4495000,4,6,3196.0,55 Gould St,11937,NY,East Hampton
2119,9135534016,27500000,11,17,23000.0,802 Town Line Rd,11962,NY,Sagaponack
