,id,city,zipCode,list_price,baths
0,4273064857,Port Washington,11050,879000,2
1,3499438412,New Hyde Park,11040,685000,3
2,4927661252,Massapequa Park,11762,1099999,3
3,9673513342,Franklin Square,11010,470000,3
4,3948887720,Valley Stream,11580,795000,3
5,3931673484,Port Washington,11050,1299000,3
6,4946629617,Long Beach,11561,699000,2
7,3893813732,Wantagh,11793,379990,1
8,4848052456,Port Washington,11050,749900,2
9,3237204272,Muttontown,11791,1395000,0
10,3385552988,Rockville Centre,11570,1999999,4
11,3136144630,Baldwin,11510,749999,3
12,3056340577,Lido Beach,11561,2275000,3
13,4960223798,Long Beach,11561,1750000,5
14,3674682652,Rockville Centre,11570,259000,1
15,4323902633,Great Neck,11021,1580000,3
16,4060395644,Westbury,11590,829000,3
17,3942169181,East Hills,11577,1288000,3
18,4902996396,Valley Stream,11580,1698888,3
19,3423431633,Lynbrook,11563,798000,3
20,4273064857,Port Washington,11050,879000,2
21,3499438412,New Hyde Park,11040,685000,3
22,4927661252,Massapequa Park,11762,1099999,3
23,9673513342,Franklin Square,11010,470000,3
24,3948887720,Valley Stream,11580,795000,3
25,3931673484,Port Washington,11050,1299000,3
26,4946629617,Long Beach,11561,699000,2
27,3893813732,Wantagh,11793,379990,1
28,4848052456,Port Washington,11050,749900,2
29,3237204272,Muttontown,11791,1395000,0
30,3385552988,Rockville Centre,11570,1999999,4
31,3136144630,Baldwin,11510,749999,3
32,3056340577,Lido Beach,11561,2275000,3
33,4960223798,Long Beach,11561,1750000,5
34,3674682652,Rockville Centre,11570,259000,1
35,4323902633,Great Neck,11021,1580000,3
36,4060395644,Westbury,11590,829000,3
37,3942169181,East Hills,11577,1288000,3
38,4902996396,Valley Stream,11580,1698888,3
39,3423431633,Lynbrook,11563,798000,3
40,4273064857,Port Washington,11050,879000,2
41,3499438412,New Hyde Park,11040,685000,3
42,4927661252,Massapequa Park,11762,1099999,3
43,9673513342,Franklin Square,11010,470000,3
44,3948887720,Valley Stream,11580,795000,3
45,3931673484,Port Washington,11050,1299000,3
46,4946629617,Long Beach,11561,699000,2
47,3893813732,Wantagh,11793,379990,1
48,4848052456,Port Washington,11050,749900,2
49,3237204272,Muttontown,11791,1395000,0
50,3385552988,Rockville Centre,11570,1999999,4
51,3136144630,Baldwin,11510,749999,3
52,3056340577,Lido Beach,11561,2275000,3
53,4960223798,Long Beach,11561,1750000,5
54,3674682652,Rockville Centre,11570,259000,1
55,4323902633,Great Neck,11021,1580000,3
56,4060395644,Westbury,11590,829000,3
57,3942169181,East Hills,11577,1288000,3
58,4902996396,Valley Stream,11580,1698888,3
59,3423431633,Lynbrook,11563,798000,3
60,4273064857,Port Washington,11050,879000,2
61,3499438412,New Hyde Park,11040,685000,3
62,4927661252,Massapequa Park,11762,1099999,3
63,9673513342,Franklin Square,11010,470000,3
64,3948887720,Valley Stream,11580,795000,3
65,3931673484,Port Washington,11050,1299000,3
66,4946629617,Long Beach,11561,699000,2
67,3893813732,Wantagh,11793,379990,1
68,4848052456,Port Washington,11050,749900,2
69,3237204272,Muttontown,11791,1395000,0
70,3385552988,Rockville Centre,11570,1999999,4
71,3136144630,Baldwin,11510,749999,3
72,3056340577,Lido Beach,11561,2275000,3
73,4960223798,Long Beach,11561,1750000,5
74,3674682652,Rockville Centre,11570,259000,1
75,4323902633,Great Neck,11021,1580000,3
76,4060395644,Westbury,11590,829000,3
77,3942169181,East Hills,11577,1288000,3
78,4902996396,Valley Stream,11580,1698888,3
79,3423431633,Lynbrook,11563,798000,3
80,4273064857,Port Washington,11050,879000,2
81,3499438412,New Hyde Park,11040,685000,3
82,4927661252,Massapequa Park,11762,1099999,3
83,9673513342,Franklin Square,11010,470000,3
84,3948887720,Valley Stream,11580,795000,3
85,3931673484,Port Washington,11050,1299000,3
86,4946629617,Long Beach,11561,699000,2
87,3893813732,Wantagh,11793,379990,1
88,4848052456,Port Washington,11050,749900,2
89,3237204272,Muttontown,11791,1395000,0
90,3385552988,Rockville Centre,11570,1999999,4
91,3136144630,Baldwin,11510,749999,3
92,3056340577,Lido Beach,11561,2275000,3
93,4960223798,Long Beach,11561,1750000,5
94,3674682652,Rockville Centre,11570,259000,1
95,4323902633,Great Neck,11021,1580000,3
96,4060395644,Westbury,11590,829000,3
97,3942169181,East Hills,11577,1288000,3
98,4902996396,Valley Stream,11580,1698888,3
99,3423431633,Lynbrook,11563,798000,3
100,4273064857,Port Washington,11050,879000,2
101,3499438412,New Hyde Park,11040,685000,3
102,4927661252,Massapequa Park,11762,1099999,3
103,9673513342,Franklin Square,11010,470000,3
104,3948887720,Valley Stream,11580,795000,3
105,3931673484,Port Washington,11050,1299000,3
106,4946629617,Long Beach,11561,699000,2
107,3893813732,Wantagh,11793,379990,1
108,4848052456,Port Washington,11050,749900,2
109,3237204272,Muttontown,11791,1395000,0
110,3385552988,Rockville Centre,11570,1999999,4
111,3136144630,Baldwin,11510,749999,3
112,3056340577,Lido Beach,11561,2275000,3
113,4960223798,Long Beach,11561,1750000,5
114,3674682652,Rockville Centre,11570,259000,1
115,4323902633,Great Neck,11021,1580000,3
116,4060395644,Westbury,11590,829000,3
117,3942169181,East Hills,11577,1288000,3
118,4902996396,Valley Stream,11580,1698888,3
119,3423431633,Lynbrook,11563,798000,3
120,4273064857,Port Washington,11050,879000,2
121,3499438412,New Hyde Park,11040,685000,3
122,4927661252,Massapequa Park,11762,1099999,3
123,9673513342,Franklin Square,11010,470000,3
124,3948887720,Valley Stream,11580,795000,3
125,3931673484,Port Washington,11050,1299000,3
126,4946629617,Long Beach,11561,699000,2
127,3893813732,Wantagh,11793,379990,1
