,id,city,zipCode,list_price,baths
2108,3533730752,Commack,11725,667000,3
2109,3647622809,Brentwood,11717,639000,2
2110,4124648059,East Hampton,11937,3495000,5
2111,3522803057,East Hampton,11937,2595000,4
2112,9200255023,Water Mill,11976,19950000,12
2113,4154571724,East Hampton,11937,3695000,6
2114,4072798171,Ridge,11961,399000,2
2115,4697368030,Greenport,11944,875000,2
2116,3542840089,Mattituck,11952,1095000,3
2117,4068836272,East Hampton,11937,18995000,8
2118,3651483610,East Hampton,11937,4495000,6
2119,9135534016,Sagaponack,11962,27500000,17
2120,4320632096,East Hampton,11937,3995000,7
2121,3978840061,Port Jefferson Station,11776,499990,2
2122,4528089672,Westhampton,11977,2699000,4
2123,4560478667,Port Jefferson,11777,975000,5
2124,4622503716,East Islip,11730,400000,2
2125,4355382664,Dix Hills,11746,2475000,4
2126,9942955464,Huntington,11743,1200000,4
2127,4068836272,East Hampton,11937,18995000,8
2128,3533730752,Commack,11725,667000,3
2129,3647622809,Brentwood,11717,639000,2
2130,4124648059,East Hampton,11937,3495000,5
2131,3522803057,East Hampton,11937,2595000,4
2132,9200255023,Water Mill,11976,19950000,12
2133,4154571724,East Hampton,11937,3695000,6
2134,4072798171,Ridge,11961,399000,2
2135,4697368030,Greenport,11944,875000,2
2136,3542840089,Mattituck,11952,1095000,3
2137,4068836272,East Hampton,11937,18995000,8
2138,3651483610,East Hampton,11937,4495000,6
2139,9135534016,Sagaponack,11962,27500000,17
2140,4320632096,East Hampton,11937,3995000,7
2141,3978840061,Port Jefferson Station,11776,499990,2
2142,4528089672,Westhampton,11977,2699000,4
2143,4560478667,Port Jefferson,11777,975000,5
2144,4622503716,East Islip,11730,400000,2
2145,4355382664,Dix Hills,11746,2475000,4
2146,9942955464,Huntington,11743,1200000,4
2147,4068836272,East Hampton,11937,18995000,8
2148,3533730752,Commack,11725,667000,3
2149,3647622809,Brentwood,11717,639000,2
2150,4124648059,East Hampton,11937,3495000,5
2151,3522803057,East Hampton,11937,2595000,4
2152,9200255023,Water Mill,11976,19950000,12
2153,4154571724,East Hampton,11937,3695000,6
2154,4072798171,Ridge,11961,399000,2
2155,4697368030,Greenport,11944,875000,2
2156,3542840089,Mattituck,11952,1095000,3
2157,4068836272,East Hampton,11937,18995000,8
2158,3651483610,East Hampton,11937,4495000,6
2159,9135534016,Sagaponack,11962,27500000,17
2160,4320632096,East Hampton,11937,3995000,7
2161,3978840061,Port Jefferson Station,11776,499990,2
2162,4528089672,Westhampton,11977,2699000,4
2163,4560478667,Port Jefferson,11777,975000,5
2164,4622503716,East Islip,11730,400000,2
2165,4355382664,Dix Hills,11746,2475000,4
2166,9942955464,Huntington,11743,1200000,4
2167,4068836272,East Hampton,11937,18995000,8
2168,3533730752,Commack,11725,667000,3
2169,3647622809,Brentwood,11717,639000,2
2170,4124648059,East Hampton,11937,3495000,5
2171,3522803057,East Hampton,11937,2595000,4
2172,9200255023,Water Mill,11976,19950000,12
2173,4154571724,East Hampton,11937,3695000,6
2174,4072798171,Ridge,11961,399000,2
2175,4697368030,Greenport,11944,875000,2
2176,3542840089,Mattituck,11952,1095000,3
2177,4068836272,East Hampton,11937,18995000,8
2178,3651483610,East Hampton,11937,4495000,6
2179,9135534016,Sagaponack,11962,27500000,17
2180,4320632096,East Hampton,11937,3995000,7
2181,3978840061,Port Jefferson Station,11776,499990,2
2182,4528089672,Westhampton,11977,2699000,4
2183,4560478667,Port Jefferson,11777,975000,5
2184,4622503716,East Islip,11730,400000,2
2185,4355382664,Dix Hills,11746,2475000,4
2186,9942955464,Huntington,11743,1200000,4
2187,4068836272,East Hampton,11937,18995000,8
2188,3533730752,Commack,11725,667000,3
2189,3647622809,Brentwood,11717,639000,2
2190,4124648059,East Hampton,11937,3495000,5
2191,3522803057,East Hampton,11937,2595000,4
2192,9200255023,Water Mill,11976,19950000,12
2193,4154571724,East Hampton,11937,3695000,6
2194,4072798171,Ridge,11961,399000,2
2195,4697368030,Greenport,11944,875000,2
2196,3542840089,Mattituck,11952,1095000,3
2197,4068836272,East Hampton,11937,18995000,8
2198,3651483610,East Hampton,11937,4495000,6
2199,9135534016,Sagaponack,11962,27500000,17
2200,4320632096,East Hampton,11937,3995000,7
2201,3978840061,Port Jefferson Station,11776,499990,2
2202,4528089672,Westhampton,11977,2699000,4
2203,4560478667,Port Jefferson,11777,975000,5
2204,4622503716,East Islip,11730,400000,2
2205,4355382664,Dix Hills,11746,2475000,4
2206,9942955464,Huntington,11743,1200000,4
2207,4068836272,East Hampton,11937,18995000,8
2208,3533730752,Commack,11725,667000,3
2209,3647622809,Brentwood,11717,639000,2
2210,4124648059,East Hampton,11937,3495000,5
2211,3522803057,East Hampton,11937,2595000,4
2212,9200255023,Water Mill,11976,19950000,12
2213,4154571724,East Hampton,11937,3695000,6
2214,4072798171,Ridge,11961,399000,2
2215,4697368030,Greenport,11944,875000,2
