,id,price,beds,baths,address,postal_code,state,city
76,4557415859,480000,4.0,2.0,225 Claywood Dr,11717,NY,Brentwood
77,4108216041,275000,6.0,2.0,721 Park Ave,11743,NY,Huntington
78,3365273284,649999,4.0,3.0,16 Bayside Ave,11763,NY,Medford
79,3194075470,659000,3.0,2.0,44 Earl Rd,11747,NY,Melville
80,4164820378,550000,4.0,3.0,22 Bellhaven Rd,11713,NY,Bellport
81,9264943006,195000,3.0,1.0,86 Orchid Dr,11951,NY,Mastic Beach
82,9928781157,335000,3.0,1.0,7 Pennant Dr,11951,NY,Mastic Beach
83,3181860128,879900,5.0,3.0,238 Woodlawn Ave,11780,NY,Saint James
84,3044411257,899000,3.0,2.0,65 Gardiner Ave,11937,NY,East Hampton
85,3900515793,569000,5.0,3.0,325 Elwood Rd,11731,NY,East Northport
86,3915693181,899999,3.0,3.0,664 Old Country Rd,11746,NY,Dix Hills
87,9376764909,999000,4.0,3.0,3 Ori Maia Ct,11743,NY,Huntington
88,4231990054,389000,3.0,2.0,50 W Willow St,11717,NY,Brentwood
89,3524021000,479990,2.0,3.0,47 Lakeside Ln Unit 47,11706,NY,Bay Shore
90,3059501151,419000,3.0,2.0,56 Blythe Rd,11779,NY,Ronkonkoma
91,3386204148,489999,3.0,2.0,42 1st St,11779,NY,Ronkonkoma
92,4071642927,699000,5.0,3.0,257 Brookville Ave,11751,NY,Islip
93,3089766874,369000,2.0,2.0,226 Springmeadow Dr Unit I,11741,NY,Holbrook
94,3506824222,749000,5.0,2.0,103 Clark St,11704,NY,West Babylon
95,3219657577,1150000,5.0,3.0,6 Carol Ct,11746,NY,Dix Hills
96,3356808504,619000,3.0,3.0,163 Throop St,11704,NY,West Babylon
97,4697573955,480000,4.0,2.0,255 Justice St,11704,NY,West Babylon
98,3783323850,729000,2.0,3.0,15 Graycrest Ct Unit 15,11766,NY,Mount Sinai
99,4443041607,449000,4.0,2.0,519 William Floyd Pkwy,11967,NY,Shirley
100,3013913195,537500,3.0,2.0,27 Dale Ln,11787,NY,Smithtown
